type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol
white,7.1,0.34,0.32,2.0,0.051,130.0,0.99354,3.3,0.5,10.4
red,7.4,0.52,0.13,2.4,0.078,61.0,0.99528,3.43,0.59,10.8
white,5.4,0.205,0.16,12.55,0.051,115.0,0.99564,3.4,0.38,10.8
white,6.8,0.13,0.39,1.4,0.034,102.0,0.99121,3.23,0.6,11.3
white,6.0,0.17,0.29,5.0,0.028,108.0,0.99076,3.14,0.34,12.3
white,7.7,0.24,0.3,1.4,0.041,102.0,0.9929,3.26,0.53,10.4
white,6.5,0.37,0.33,3.5,0.036,92.0,0.99136,3.18,0.38,11.2
red,6.8,0.51,0.01,2.1,0.074,25.0,0.9958,3.33,0.56,9.5
white,6.5,0.23,0.33,13.8,0.042,139.0,0.99695,3.35,0.56,10.4
white,8.2,0.2,0.38,3.5,0.053,174.0,0.99306,3.22,0.41,11.6
white,7.8,0.21,0.39,1.8,0.034,180.0,0.991,3.09,0.75,12.6
white,6.3,0.1,0.24,6.0,0.039,107.0,0.99511,3.59,0.49,10.5
red,9.65,0.23,0.57,1.8,0.074,8.0,0.9981,3.14,0.7,9.9
red,6.8,0.48,0.08,1.8,0.074,64.0,0.99529,3.12,0.49,9.6
white,6.8,0.19,0.6400000000000001,16.05,0.042,114.0,0.99784,2.85,0.5,9.5
red,9.65,0.39,0.54,2.7,0.095,101.0,1.0001,3.13,0.51,9.5
white,6.3,0.22,0.43,4.55,0.038,130.0,0.9918,3.35,0.33,11.5
white,6.5,0.17,0.31,1.5,0.041,121.0,0.99092,3.06,0.46,10.5
red,6.2,0.64,0.09,2.5,0.081,26.0,0.99538,3.57,0.63,12.0
white,6.0,0.16,0.27,12.0,0.03,98.0,0.99402,3.15,0.34,10.8
white,8.0,0.45,0.28,10.8,0.051,157.0,0.9957,3.06,0.47,11.4
white,6.9,0.33,0.62,7.5,0.038,132.0,0.99143,3.23,0.43,13.4
white,7.4,0.2,0.6400000000000001,2.1,0.022,113.0,0.99165,3.26,0.55,12.2
white,6.9,0.15,0.29,2.3,0.033,82.0,0.99132,3.1,0.58,11.2
white,6.8,0.19,0.4,9.85,0.055,103.0,0.99532,2.98,0.56,10.5
white,6.8,0.29,0.32,1.8,0.032,130.0,0.99095,3.05,0.62,11.2
white,6.1,0.28,0.27,8.0,0.048,162.0,0.99498,3.21,0.51,9.9
white,5.4,0.46,0.15,2.1,0.026,130.0,0.98953,3.39,0.77,13.4
white,7.8,0.27,0.35,1.2,0.05,140.0,0.99138,3.09,0.45,11.2
white,7.0,0.15,0.34,1.4,0.039,177.0,0.9927,3.32,0.62,10.8
red,8.9,0.4,0.51,2.6,0.052,27.0,0.995,3.32,0.855,13.4
white,8.2,0.26,0.44,1.3,0.046,69.0,0.9944,3.14,0.62,10.2
red,5.0,0.6799999999999999,0.04,1.4,0.045,85.0,0.9938,3.66,0.48,10.5
white,6.6,0.23,0.32,1.7,0.024,102.0,0.99084,3.29,0.6,11.8
white,7.4,0.26,0.31,7.6,0.047,177.0,0.9962,3.13,0.45,8.9
red,7.3,0.365,0.49,2.5,0.088,106.0,0.9966,3.36,0.78,11.0
white,7.0,0.32,0.24,6.2,0.048,228.0,0.9957,3.23,0.62,9.4
red,8.8,0.48,0.41,3.3,0.092,52.0,0.9982,3.31,0.53,10.5
white,7.1,0.37,0.32,1.4,0.037,126.0,0.9918,3.19,0.62,12.0
white,7.6,0.27,0.42,2.6,0.044,110.0,0.9912,3.31,0.51,12.7
white,7.1,0.26,0.31,2.2,0.044,128.0,0.9937,3.34,0.64,10.9
white,6.8,0.19,0.23,5.1,0.034,204.0,0.9942,3.23,0.69,10.1
white,6.3,0.34,0.36,4.9,0.035,185.0,0.9946,3.15,0.49,9.7
white,6.9,0.14,0.38,1.0,0.041,81.0,0.99043,3.03,0.54,11.4
white,5.8,0.26,0.24,9.2,0.044,152.0,0.9961,3.31,0.38,9.4
